Example response to /action,41743
/fx/8/fxparam/15/value (0.0,)
/fx/8/fxparam/16/name ('',)
/fx/8/fxparam/16/value/str ('',)
/fx/8/fxparam/16/value (0.0,)
/device/fx/select/1 (0.0,)
/device/fx/select/2 (0.0,)
/device/fx/select/3 (0.0,)
/device/fx/select/4 (0.0,)
/device/fx/select/5 (0.0,)
/device/fx/select/6 (0.0,)
/device/fx/select/7 (0.0,)
/device/fx/select/8 (0.0,)
/device/fxparam/bank/str ('1',)
/device/fxinstparam/bank/str ('1',)
/fxinstparam/1/name ('',)
/fxinstparam/1/value/str ('',)
/fxinstparam/1/value (0.0,)
/fxinstparam/2/name ('',)
/fxinstparam/2/value/str ('',)
/fxinstparam/2/value (0.0,)
/fxinstparam/3/name ('',)
/fxinstparam/3/value/str ('',)
/fxinstparam/3/value (0.0,)
/fxinstparam/4/name ('',)
/fxinstparam/4/value/str ('',)
/fxinstparam/4/value (0.0,)
/fxinstparam/5/name ('',)
/fxinstparam/5/value/str ('',)
/fxinstparam/5/value (0.0,)
/fxinstparam/6/name ('',)
/fxinstparam/6/value/str ('',)
/fxinstparam/6/value (0.0,)
/fxinstparam/7/name ('',)
/fxinstparam/7/value/str ('',)
/fxinstparam/7/value (0.0,)
/fxinstparam/8/name ('',)
/fxinstparam/8/value/str ('',)
/fxinstparam/8/value (0.0,)
/fxinstparam/9/name ('',)
/fxinstparam/9/value/str ('',)
/fxinstparam/9/value (0.0,)
/fxinstparam/10/name ('',)
/fxinstparam/10/value/str ('',)
/fxinstparam/10/value (0.0,)
/fxinstparam/11/name ('',)
/fxinstparam/11/value/str ('',)
/fxinstparam/11/value (0.0,)
/fxinstparam/12/name ('',)
/fxinstparam/12/value/str ('',)
/fxinstparam/12/value (0.0,)
/fxinstparam/13/name ('',)
/fxinstparam/13/value/str ('',)
/fxinstparam/13/value (0.0,)
/fxinstparam/14/name ('',)
/fxinstparam/14/value/str ('',)
/fxinstparam/14/value (0.0,)
/fxinstparam/15/name ('',)
/fxinstparam/15/value/str ('',)
/fxinstparam/15/value (0.0,)
/fxinstparam/16/name ('',)
/fxinstparam/16/value/str ('',)
/fxinstparam/16/value (0.0,)
/fxeq/preset ('',)
/fxeq/bypass (0.0,)
/fxeq/openui (0.0,)
/fxeq/hipass/freq/str ('0Hz',)
/fxeq/hipass/freq (0.0,)
/fxeq/hipass/q/str ('1.0',)
/fxeq/hipass/q (0.5,)
/fxeq/loshelf/freq/str ('0Hz',)
/fxeq/loshelf/freq (0.0,)
/fxeq/loshelf/gain/str ('0dB',)
/fxeq/loshelf/gain (0.5,)
/fxeq/loshelf/q/str ('1.0',)
/fxeq/loshelf/q (0.5,)
/fxeq/band/0/freq/str ('0Hz',)
/fxeq/band/0/freq (0.0,)
/fxeq/band/1/freq/str ('0Hz',)
/fxeq/band/1/freq (0.0,)
/fxeq/band/2/freq/str ('0Hz',)
/fxeq/band/2/freq (0.0,)
/fxeq/band/3/freq/str ('0Hz',)
/fxeq/band/3/freq (0.0,)
/fxeq/band/4/freq/str ('0Hz',)
/fxeq/band/4/freq (0.0,)
